Operateur;Latitude;Longitude;2G;3G;4G
20801;48.4565745588299;-5.08885611530134;1;1;0
20810;48.4628538482935;-5.08801816941473;1;1;0
20820;48.4628816152289;-5.08800886293931;1;1;1
20801;48.3972974813795;-4.95678163781417;0;1;1
20801;48.0380504123669;-4.85402877108082;1;1;0
20820;48.3540643094931;-4.78011980924089;1;1;1
20820;48.0385972703644;-4.73194616059219;1;0;0
20801;48.3547007693159;-4.77773187799255;1;1;0
20820;48.5042065195251;-4.77169546388118;1;1;0
20801;48.5043380401877;-4.77161978430598;1;1;0
20810;48.3700180533646;-4.74894569636219;1;1;1
20801;48.4542024657546;-4.75427039574887;1;1;1
20801;48.037218145783;-4.67761374169657;1;1;1
20820;48.3504359378876;-4.72287459118186;1;1;1
20815;48.3505504135305;-4.72278294139255;0;1;1
20801;48.3506183623126;-4.72271156776194;1;1;1
20810;48.3506487382267;-4.72266178856296;1;1;0
20820;48.4502745035336;-4.73639023001222;1;1;1
20815;48.4502840301664;-4.73610627740293;0;1;1
20815;48.4874943473064;-4.73673980531833;0;1;1
20810;48.4881955784137;-4.73624516687613;1;1;0
20820;48.4071966827127;-4.7163856159284;1;1;0
20801;48.4075088301189;-4.71617361093281;1;1;1
20820;48.0332755287407;-4.66129521936124;1;1;0
20810;48.0332316175191;-4.66127536691812;1;1;0
20815;48.0333914859155;-4.6610424394908;0;1;1
20810;48.5380220645243;-4.73205008292907;1;1;0
20810;48.435848640447;-4.71283640849183;1;1;0
20820;48.5545940975096;-4.69183218957888;1;1;0
20810;48.3601902548154;-4.64198823753072;1;1;1
20815;48.3603173604264;-4.64197962657142;0;1;1
20820;48.5284455968047;-4.66057900862838;1;1;1
20810;48.5286971636992;-4.66060226136257;1;1;0
20815;48.5285458270539;-4.66056647946657;0;1;0
20801;48.5287517555215;-4.66059665272269;1;1;1
20801;48.3592717086649;-4.63284831734604;1;1;1
20801;48.3818902737168;-4.62145899932093;0;1;1
20810;48.428619492936;-4.62791759972726;0;1;0
20801;48.4286400050285;-4.62787984290148;0;1;1
20810;48.388309196585;-4.62115715678443;1;1;1
20801;48.3882676052116;-4.62096112233353;1;1;0
20820;48.3882190881193;-4.62045195764764;1;1;1
20810;48.4585950495014;-4.62785475390002;1;1;0
20820;48.3572438124564;-4.61300948504032;1;1;1
20810;48.0316959333387;-4.56144205438897;1;1;0
20801;48.4474928675481;-4.61822191466932;1;1;1
20820;48.4450543048318;-4.61398181589142;1;1;1
20801;48.3779786785026;-4.60276390026341;1;1;1
20815;48.443331482898;-4.6116800608896;0;1;1
20810;48.3888027826254;-4.60240646875299;1;1;1
20815;48.3887964221529;-4.6023648351232;0;1;1
20820;48.2730592366026;-4.58528215104092;1;1;1
20801;48.2729884518204;-4.58525839345549;1;1;0
20810;48.2712771762449;-4.58361678362481;1;1;0
20815;48.2715207138092;-4.58362484769165;0;1;0
20810;48.5656743183933;-4.61720760566066;1;1;0
20820;48.5657011792615;-4.61721152185537;1;1;0
20815;48.5250262689567;-4.60618383992639;0;1;0
20820;48.5250109564451;-4.60614079521855;1;1;1
20801;48.1700308181625;-4.55276471422297;1;1;0
20810;48.3778508020252;-4.57562411016633;1;1;1
20801;48.3778103341711;-4.57555042848879;1;1;0
20801;48.0200893736441;-4.52260280607998;1;1;1
20810;48.0199763412834;-4.52253280781228;0;1;0
20820;48.0199682391077;-4.52251817914827;1;1;0
20815;48.0199968256899;-4.52249530149534;0;1;1
20801;48.3606555096224;-4.5710387653878;1;1;1
20810;48.4389896738934;-4.58203512582957;1;1;0
20810;48.3607775008072;-4.56377322952079;1;1;1
20820;48.3608326047253;-4.56361842319775;1;1;1
20820;48.4297213182248;-4.57166265027529;1;1;1
20801;48.4298267147644;-4.57156923875239;1;1;1
20820;48.4644424006421;-4.57028355287787;1;1;1
20801;48.0161523256342;-4.50262674609969;1;1;1
20815;48.42738035278;-4.55569401450538;0;1;1
20801;48.427417892913;-4.55567226904057;1;1;1
20801;48.3737626404662;-4.5445917879084;1;1;0
20801;48.4697598630139;-4.55820928401464;1;1;0
20801;48.41834725799;-4.54613659120919;1;1;0
20810;48.4180155357867;-4.54595305113964;1;1;0
20801;48.2270810403394;-4.51723453920671;0;1;1
20801;48.5877457504449;-4.56760139141082;1;1;0
20820;48.5877107951939;-4.56758270486949;1;0;0
20801;48.3831232038372;-4.53755352363207;0;1;1
20810;48.0179651798561;-4.4813129534542;1;1;0
20801;48.3780701319496;-4.53232316548434;1;1;0
20810;48.3780475489081;-4.53225208937724;1;1;1
20801;48.0327802459294;-4.48103999241608;1;1;0
20820;48.3852430898433;-4.53123686323556;1;1;1
20820;48.0326876607762;-4.48093253471408;1;1;0
20815;48.032766139538;-4.48083583542411;0;1;1
20810;48.3713882526246;-4.52797241096049;1;1;1
20820;48.3798603467527;-4.52663797350654;1;1;1
20810;48.408887915536;-4.52864807895041;1;1;1
20801;48.3846198965412;-4.52498741942174;1;1;1
20820;48.3887255738879;-4.52537310808829;0;1;0
20820;48.3868107956549;-4.52478622532379;1;1;1
20815;48.3869160166212;-4.52341732041393;0;1;1
20810;48.3869399196388;-4.52332576933978;1;1;1
20801;48.3973110753764;-4.52154341132738;1;1;1
20810;48.247238783301;-4.49478364203722;1;1;0
20815;48.2473569312992;-4.49477341800855;0;1;1
20801;48.245193091075;-4.49284119683945;1;1;1
20810;48.4819769051284;-4.52673739383821;1;0;0
20820;48.3830450456609;-4.51195363314384;1;1;1
20810;48.3831098915733;-4.51178654487505;1;1;1
20815;48.3830514721134;-4.51171033916253;0;1;1
20820;48.409160235768;-4.51499064850065;1;1;1
20815;48.4080583806269;-4.5138417666979;0;1;1
20801;48.4081778178918;-4.51366885290864;1;1;1
20801;48.3828026018303;-4.50993806355296;1;1;1
20810;48.5728874218682;-4.53611739839879;1;1;1
20801;48.3881744107652;-4.50746450687318;0;1;1
20810;48.439428754586;-4.51452507841877;1;1;1
